unit,group,model,gain,lo,hi,n
African Cup of Nations 2023,men_intl,GLM,0.05860447311088895,0.01413783406059126,0.10156930066335099,1087
African Cup of Nations 2023,men_intl,GBM,0.06383796464294485,,,1087
Copa America 2024,men_intl,GLM,0.08423945357147536,0.04431356895742686,0.12152220547826996,709
Copa America 2024,men_intl,GBM,0.0846257040598272,,,709
FA Women's Super League 2018/2019,women_club,GLM,0.0036983618150497116,-0.020487143510744116,0.02788027474314825,2696
FA Women's Super League 2018/2019,women_club,GBM,-0.002155608111520729,,,2696
FA Women's Super League 2019/2020,women_club,GLM,0.035762888320101265,0.011687940612744184,0.06083854152088123,2129
FA Women's Super League 2019/2020,women_club,GBM,0.029525716251665807,,,2129
FA Women's Super League 2020/2021,women_club,GLM,0.0599671766076806,0.03681155263760828,0.08427271369608905,3117
FA Women's Super League 2020/2021,women_club,GBM,0.0456381211477494,,,3117
FA Women's Super League 2023/2024,women_club,GLM,0.06317390826560526,0.0427395555416189,0.08320661180105166,3441
FA Women's Super League 2023/2024,women_club,GBM,0.06577671229624547,,,3441
FIFA World Cup 2018,men_intl,GLM,0.0360408033660549,0.0007667246226643972,0.07134189890207993,1556
FIFA World Cup 2018,men_intl,GBM,0.029251849431448877,,,1556
FIFA World Cup 2022,men_intl,GLM,0.05344676342488988,0.024953275917544086,0.08488967247333176,1382
FIFA World Cup 2022,men_intl,GBM,0.06872981449811276,,,1382
Frauen Bundesliga 2023/2024,women_club,GLM,0.05054208755236803,0.025778334167190095,0.07650873063890097,3152
Frauen Bundesliga 2023/2024,women_club,GBM,0.05751867566210605,,,3152
Indian Super league 2021/2022,men_club,GLM,0.04298835668839954,0.021673236301170004,0.06455895526552091,2881
Indian Super league 2021/2022,men_club,GBM,0.04357920425476129,,,2881
La Liga 2015/2016,men_club,GLM,0.06727899090059077,0.05319390102853863,0.08139489177259607,8661
La Liga 2015/2016,men_club,GBM,0.06593764856192325,,,8661
Liga F 2023/2024,women_club,GLM,0.06493620050074482,0.04807399530839994,0.08096116203754306,5938
Liga F 2023/2024,women_club,GBM,0.06111106557635086,,,5938
Ligue 1 2015/2016,men_club,GLM,0.06356264922469665,0.04901983278092342,0.0777796348980649,8260
Ligue 1 2015/2016,men_club,GBM,0.06938385014218033,,,8260
NWSL 2023,women_club,GLM,0.05650830302586849,0.03185158902320284,0.08108097215741027,3419
NWSL 2023,women_club,GBM,0.05998210856119622,,,3419
Premier League 2015/2016,men_club,GLM,0.04050710885508258,0.027154439530596205,0.05336610719789198,9415
Premier League 2015/2016,men_club,GBM,0.04436113847140095,,,9415
Serie A 2015/2016,men_club,GLM,0.061548681108442096,0.049946927728085726,0.07358119693944613,9396
Serie A 2015/2016,men_club,GBM,0.058252385967580735,,,9396
Serie A Women 2023/2024,women_club,GLM,0.04564388204167791,0.024688902414885933,0.0684568322049043,3560
Serie A Women 2023/2024,women_club,GBM,0.041562113706809255,,,3560
UEFA Euro 2020,men_intl,GLM,0.0571291104183899,0.01718371007518106,0.09179255521366837,1193
UEFA Euro 2020,men_intl,GBM,0.05001508164153485,,,1193
UEFA Euro 2024,men_intl,GLM,0.060786245999354976,0.029096377891047492,0.09092978514409394,1257
UEFA Euro 2024,men_intl,GBM,0.043657522291344994,,,1257
UEFA Women's Euro 2022,women_intl,GLM,0.09801582511358059,0.05302480994978436,0.14265288542173032,861
UEFA Women's Euro 2022,women_intl,GBM,0.10191864147606312,,,861
UEFA Women's Euro 2025,women_intl,GLM,0.04225858013258758,0.007376199359236387,0.08059056452635081,851
UEFA Women's Euro 2025,women_intl,GBM,0.043322501289275415,,,851
Women's World Cup 2019,women_intl,GLM,0.08309241910201037,0.04236839601519688,0.12083559777766165,1243
Women's World Cup 2019,women_intl,GBM,0.09158204396048207,,,1243
Women's World Cup 2023,women_intl,GLM,0.09118254095373049,0.06646403266739465,0.11777174967823813,1566
Women's World Cup 2023,women_intl,GBM,0.0970760576831957,,,1566
