design,split,model,n,goals,logloss,brier,MCB,DSC,UNC,ICI,auc,cal_int,cal_slope,obs_exp
cross,men_club,GLM_LOC,39157,4046,0.2860168690962104,0.08169359785705056,0.0008305021514830868,0.011787935012754186,0.09265103071832166,0.01465327099275091,0.7711582459205397,-0.13321628572100183,0.8797991366930212,0.9041285834849817
cross,men_club,GLM_GEO,39157,4046,0.2698115445470703,0.07709915207400661,0.0003239706656098795,0.01587584930992493,0.09265103071832166,0.007766442566088988,0.8023468062652739,0.04189176522317824,0.9083078751427068,1.0309274372845303
cross,men_club,GBM_LOC,39157,4046,0.28343598082998434,0.08118761062801319,0.0005311656338741338,0.011994585724182605,0.09265103071832166,0.01269696128921777,0.7733208950364646,-0.11396535507427624,0.953996541414558,0.9159377553376907
cross,men_club,GBM_GEO,39157,4046,0.2683379059440993,0.07674526942962401,0.0003044470434529628,0.016210208332150616,0.09265103071832166,0.007668783302925952,0.8022904846381337,0.052757048297589135,0.9460076906792679,1.0393432893230985
cross,men_club,statsbomb_xg,39157,4046,0.2682340219393127,0.07628175958465035,0.0003933828512674292,0.016762653984938744,0.09265103071832166,0.00969526281369172,0.801491025151179,0.043435566521508436,1.0210914374568856,1.0330064792138147
cross,men_intl,GLM_LOC,70586,7143,0.2795682672948873,0.07937421867331364,0.0003488652162699363,0.011929780458146466,0.09095513391519017,0.009785116488627862,0.7769099832920668,0.10943985496050199,0.9724077357188471,1.089933668378748
cross,men_intl,GLM_GEO,70586,7143,0.2654810875605506,0.07546732149712493,0.00023795556839008303,0.015725767986455322,0.09095513391519017,0.007175487680239308,0.8052428233152784,0.08232978143760444,0.9320196938346589,1.0626245766541307
cross,men_intl,GBM_LOC,70586,7143,0.2812686412127995,0.08044571996582428,0.001124482269139318,0.011633896218505205,0.09095513391519017,0.019381635640076007,0.7764540098760309,0.08777909174616486,1.2892154331717374,1.0761398146981025
cross,men_intl,GBM_GEO,70586,7143,0.26473182250464633,0.07574078023887774,0.0005741983697375164,0.01578855204604994,0.09095513391519017,0.010969051444939214,0.8063614945723562,0.08596626750756843,1.1064173290572195,1.0690759511911359
cross,men_intl,statsbomb_xg,70586,7143,0.26031178732846966,0.07412276245927887,0.0003100306752638893,0.017142402131175183,0.09095513391519017,0.00961295452693561,0.8116449451664467,0.05182902534340823,1.0344791611943063,1.0392212270336925
cross,women_club,GLM_LOC,50318,4833,0.267544197621547,0.07571775345957456,0.00031447921623493913,0.011420418402566385,0.086823692645906,0.008173444555714981,0.7828873355451889,0.03349412842737139,1.025127213683167,1.0260791244787542
cross,women_club,GLM_GEO,50318,4833,0.25294661579316485,0.07154545494975031,0.0003092230745428831,0.015587460770698572,0.086823692645906,0.008436915049190526,0.8130406449321826,-0.0890112203300259,1.007958242120583,0.9358858609570716
cross,women_club,GBM_LOC,50318,4833,0.2659955696043147,0.07556150161023034,0.0004286329356457397,0.011690823971321401,0.086823692645906,0.008821869334013474,0.7842502403174685,0.027670793881769795,1.0668917151836674,1.02238010793456
cross,women_club,GBM_GEO,50318,4833,0.2507831177108604,0.07120568073130293,0.00032402836009108593,0.01594204027469416,0.086823692645906,0.007607175558026069,0.8142272308424451,-0.08040617520178621,1.010470997392082,0.94230318574895
cross,women_club,statsbomb_xg,50318,4833,0.24910137465101076,0.07054812377744481,0.0003401123638811926,0.01661568123234239,0.086823692645906,0.00898207994972025,0.8169141419713928,0.028368324952273143,1.0479498282852255,1.0213574367592995
cross,women_intl,GLM_LOC,73249,7369,0.2795399420858185,0.0791716383095646,0.0004802160862164284,0.011789860105835367,0.09048128232918354,0.013683917588867292,0.773999988094005,0.17314481360480613,0.9112432861568202,1.1443474263725113
cross,women_intl,GLM_GEO,73249,7369,0.2718690755156278,0.07645984179317003,0.0007003774013544795,0.014721817937367987,0.09048128232918354,0.01227672072084878,0.7995550700875845,-0.03471634539493985,0.787619981212389,0.975943837233961
cross,women_intl,GBM_LOC,73249,7369,0.28164092969996857,0.08017307278495585,0.00038806030921756385,0.010696269853445253,0.09048128232918354,0.012659397919173598,0.7669580597117365,0.16156592708909914,0.9288253237165888,1.1364935026412093
cross,women_intl,GBM_GEO,73249,7369,0.2714702467367899,0.07714326028900408,0.0009309546445237377,0.0142689766847032,0.09048128232918354,0.01815864165489872,0.7928693307586722,0.016893284508004747,0.7850674836095833,1.0117440625633027
cross,women_intl,statsbomb_xg,73249,7369,0.2597740235043956,0.07387765084250207,0.00028762375419306985,0.016891255240874536,0.09048128232918354,0.009161388452025397,0.8103942322087565,0.046116535125822894,1.028578394879789,1.0348424851527467
loco,African Cup of Nations 2023,GLM_LOC,1087,94,0.25442723656182603,0.07168739122737727,0.003133048603550681,0.010444006181871607,0.0789983488056982,0.019092653237709114,0.7713355188446788,-0.13986605666068178,0.9450145860856503,0.894527800496522
loco,African Cup of Nations 2023,GLM_GEO,1087,94,0.2393612933020345,0.06762966515660933,0.003257711143595396,0.014626394792684266,0.0789983488056982,0.019480105195603448,0.8096998135887381,-0.16257913521051118,0.9577248454887162,0.8846216918082332
loco,African Cup of Nations 2023,GBM_LOC,1087,94,0.2550732969021288,0.07198876784238888,0.0034228855864223834,0.010432466549731706,0.0789983488056982,0.022401752318886938,0.7739388485354932,-0.1373353911857625,0.9262955036327656,0.8962817017056951
loco,African Cup of Nations 2023,GBM_GEO,1087,94,0.23902282654238002,0.06782176569486086,0.0030516704805693545,0.014228253591406698,0.0789983488056982,0.023848485057498946,0.8148421932249149,-0.15398693774022468,0.9419694044570406,0.8915102851932369
loco,African Cup of Nations 2023,statsbomb_xg,1087,94,0.2415078692831027,0.0678946468081455,0.0026872621243571038,0.013790964121909804,0.0789983488056982,0.021580999058660608,0.8041931820616657,-0.0680719950951533,0.9751347279487862,0.9492420044947613
loco,Copa America 2024,GLM_LOC,709,62,0.2694836130837396,0.07501289314122196,0.002850629975691868,0.007637848634995489,0.07980011180052558,0.02168350401067286,0.7380964251882136,-0.04606024277045805,0.8503303365170499,0.9627438515685663
loco,Copa America 2024,GLM_GEO,709,62,0.24767311637397624,0.07050233471772048,0.0029094175805088884,0.012207194663313992,0.07980011180052558,0.01669868390011162,0.7974273321035049,-0.08839304142425577,0.9701254336314493,0.9330472324849516
loco,Copa America 2024,GBM_LOC,709,62,0.26426504000380235,0.074351841763225,0.0029862913028303045,0.008434561340130889,0.07980011180052558,0.020352173248177053,0.7563194894550531,-0.09997182015694167,0.9098384968438293,0.921519091044636
loco,Copa America 2024,GBM_GEO,709,62,0.2428820464923571,0.06873859537544745,0.0030562630687689246,0.014117779493847057,0.07980011180052558,0.017735705487049926,0.8061524654734008,-0.12097559114764175,1.0170390466345043,0.9103288050516148
loco,Copa America 2024,statsbomb_xg,709,62,0.24509086575074857,0.06870154982738326,0.0038265707719546405,0.014925132745096964,0.07980011180052558,0.021340716441521624,0.791319738744578,-0.05593495142310627,0.9913607863682722,0.957464865088184
loco,FA Women's Super League 2018/2019,GLM_LOC,2696,285,0.30608163137768524,0.08724818515579519,0.0035258311171776496,0.010814750056690164,0.0945371040953077,0.026172404801028344,0.7545256754495114,-0.1775206438957991,0.7037136132162082,0.8782549529060925
